Text,Href,URL
HDFS-11742,https://issues.apache.org/jira/browse/HDFS-11742,https://github.com/apache/hadoop/blob/rel/release-2.7.4/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/balancer/Dispatcher.java
HDFS-9710,https://issues.apache.org/jira/browse/HDFS-9710,https://github.com/apache/hadoop/blob/rel/release-2.7.4/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/BPServiceActor.java
YARN-5195,https://issues.apache.org/jira/browse/YARN-5195,https://github.com/apache/hadoop/blob/rel/release-2.7.5/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/CapacityScheduler.java
YARN-6959,https://issues.apache.org/jira/browse/YARN-6959,https://github.com/apache/hadoop/blob/rel/release-2.7.5/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/fair/FairScheduler.java
HDFS-13486,https://issues.apache.org/jira/browse/HDFS-13486,https://github.com/apache/hadoop/blob/rel/release-2.7.7/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/LeaseManager.java
HADOOP-13552,https://issues.apache.org/jira/browse/HADOOP-13552,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/retry/RetryInvocationHandler.java
HADOOP-13033,https://issues.apache.org/jira/browse/HADOOP-13033,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/metrics2/lib/Interns.java
HADOOP-10776,https://issues.apache.org/jira/browse/HADOOP-10776,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/token/Token.java
HDFS-8674,https://issues.apache.org/jira/browse/HDFS-8674,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/blockmanagement/BlockManager.java
HDFS-11054,https://issues.apache.org/jira/browse/HDFS-11054,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/blockmanagement/BlockPlacementPolicyDefault.java
HDFS-10752,https://issues.apache.org/jira/browse/HDFS-10752,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/blockmanagement/CorruptReplicasMap.java
HDFS-10693,https://issues.apache.org/jira/browse/HDFS-10693,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/blockmanagement/InvalidateBlocks.java
HDFS-11094,https://issues.apache.org/jira/browse/HDFS-11094,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/BPServiceActor.java
HDFS-11069,https://issues.apache.org/jira/browse/HDFS-11069,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/DataNode.java
HDFS-10760,https://issues.apache.org/jira/browse/HDFS-10760,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/DataXceiver.java
HADOOP-12428,https://issues.apache.org/jira/browse/HADOOP-12428,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/BackupImage.java
HDFS-10872,https://issues.apache.org/jira/browse/HDFS-10872,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/LeaseManager.java
HDFS-9229,https://issues.apache.org/jira/browse/HDFS-9229,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/ha/EditLogTailer.java
HADOOP-12985,https://issues.apache.org/jira/browse/HADOOP-12985,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/top/window/RollingWindowManager.java
HDFS-10997,https://issues.apache.org/jira/browse/HDFS-10997,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestFsck.java
MAPREDUCE-5044,https://issues.apache.org/jira/browse/MAPREDUCE-5044,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapred/LocalContainerLauncher.java
MAPREDUCE-6541,https://issues.apache.org/jira/browse/MAPREDUCE-6541,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/v2/app/rm/RMContainerAllocator.java
MAPREDUCE-6514,https://issues.apache.org/jira/browse/MAPREDUCE-6514,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/v2/app/rm/RMContainerRequestor.java
MAPREDUCE-6587,https://issues.apache.org/jira/browse/MAPREDUCE-6587,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapreduce/task/reduce/Fetcher.java
HADOOP-11969,https://issues.apache.org/jira/browse/HADOOP-11969,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapreduce/task/reduce/ShuffleSchedulerImpl.java
MAPREDUCE-6763,https://issues.apache.org/jira/browse/MAPREDUCE-6763,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-shuffle/src/main/java/org/apache/hadoop/mapred/ShuffleHandler.java
HADOOP-14028,https://issues.apache.org/jira/browse/HADOOP-14028,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AFileSystem.java
HADOOP-13871,https://issues.apache.org/jira/browse/HADOOP-13871,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AInputStream.java
HDFS-9630,https://issues.apache.org/jira/browse/HDFS-9630,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/mapred/UniformSizeInputFormat.java
HADOOP-12428,https://issues.apache.org/jira/browse/HADOOP-12428,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-tools/hadoop-gridmix/src/main/java/org/apache/hadoop/mapred/gridmix/SerialJobFactory.java
YARN-3866,https://issues.apache.org/jira/browse/YARN-3866,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-client/src/main/java/org/apache/hadoop/yarn/client/api/impl/AMRMClientImpl.java
YARN-4115,https://issues.apache.org/jira/browse/YARN-4115,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-client/src/main/java/org/apache/hadoop/yarn/client/api/impl/ContainerManagementProtocolProxy.java
HADOOP-12428,https://issues.apache.org/jira/browse/HADOOP-12428,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/security/ContainerTokenSelector.java
HADOOP-12428,https://issues.apache.org/jira/browse/HADOOP-12428,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/security/NMTokenSelector.java
YARN-3350,https://issues.apache.org/jira/browse/YARN-3350,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/util/RackResolver.java
YARN-4265,https://issues.apache.org/jira/browse/YARN-4265,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/main/java/org/apache/hadoop/yarn/server/timeline/TimelineDataManager.java
YARN-4355,https://issues.apache.org/jira/browse/YARN-4355,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/localizer/ResourceLocalizationService.java
YARN-6068,https://issues.apache.org/jira/browse/YARN-6068,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/logaggregation/AppLogAggregatorImpl.java
YARN-4844,https://issues.apache.org/jira/browse/YARN-4844,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/monitor/ContainersMonitorImpl.java
YARN-6143,https://issues.apache.org/jira/browse/YARN-6143,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/AdminService.java
YARN-5566,https://issues.apache.org/jira/browse/YARN-5566,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/rmnode/RMNodeImpl.java
YARN-4148,https://issues.apache.org/jira/browse/YARN-4148,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/LeafQueue.java
YARN-4108,https://issues.apache.org/jira/browse/YARN-4108,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/ParentQueue.java
YARN-4148,https://issues.apache.org/jira/browse/YARN-4148,https://github.com/apache/hadoop/blob/rel/release-2.8.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/fair/FairScheduler.java
HDFS-12278,https://issues.apache.org/jira/browse/HDFS-12278,https://github.com/apache/hadoop/blob/rel/release-2.8.2/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/LeaseManager.java
YARN-6930,https://issues.apache.org/jira/browse/YARN-6930,https://github.com/apache/hadoop/blob/rel/release-2.8.2/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/linux/runtime/DelegatingLinuxContainerRuntime.java
HDFS-12642,https://issues.apache.org/jira/browse/HDFS-12642,https://github.com/apache/hadoop/blob/rel/release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/BlockRecoveryWorker.java
YARN-6959,https://issues.apache.org/jira/browse/YARN-6959,https://github.com/apache/hadoop/blob/rel/release-2.8.3/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/fair/FairScheduler.java
HADOOP-15441,https://issues.apache.org/jira/browse/HADOOP-15441,https://github.com/apache/hadoop/blob/rel/release-2.8.5/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/KMSClientProvider.java
null,null,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/Configuration.java
HADOOP-14539,https://issues.apache.org/jira/browse/HADOOP-14539,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ha/ActiveStandbyElector.java
HADOOP-14539,https://issues.apache.org/jira/browse/HADOOP-14539,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ha/FailoverController.java
HADOOP-14539,https://issues.apache.org/jira/browse/HADOOP-14539,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ha/HAAdmin.java
HADOOP-14539,https://issues.apache.org/jira/browse/HADOOP-14539,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ha/HealthMonitor.java
HDFS-12683,https://issues.apache.org/jira/browse/HDFS-12683,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ha/ZKFailoverController.java
HADOOP-14690,https://issues.apache.org/jira/browse/HADOOP-14690,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/retry/RetryInvocationHandler.java
HADOOP-14958,https://issues.apache.org/jira/browse/HADOOP-14958,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc/Client.java
HADOOP-14539,https://issues.apache.org/jira/browse/HADOOP-14539,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc/Server.java
HADOOP-14539,https://issues.apache.org/jira/browse/HADOOP-14539,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/SecurityUtil.java
HDFS-11739,https://issues.apache.org/jira/browse/HDFS-11739,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/ExitUtil.java
HADOOP-14539,https://issues.apache.org/jira/browse/HADOOP-14539,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/ipc/TestAsyncIPC.java
HADOOP-14578,https://issues.apache.org/jira/browse/HADOOP-14578,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/ipc/TestIPC.java
HADOOP-14539,https://issues.apache.org/jira/browse/HADOOP-14539,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/ipc/TestIPCServerResponder.java
HADOOP-14539,https://issues.apache.org/jira/browse/HADOOP-14539,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-nfs/src/main/java/org/apache/hadoop/mount/MountdBase.java
HADOOP-14539,https://issues.apache.org/jira/browse/HADOOP-14539,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-nfs/src/main/java/org/apache/hadoop/nfs/nfs3/Nfs3Base.java
HADOOP-14539,https://issues.apache.org/jira/browse/HADOOP-14539,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-common-project/hadoop-nfs/src/main/java/org/apache/hadoop/portmap/Portmap.java
HDFS-11593,https://issues.apache.org/jira/browse/HDFS-11593,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/web/SimpleHttpProxyHandler.java
HADOOP-14520,https://issues.apache.org/jira/browse/HADOOP-14520,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/BlockBlobAppendStream.java
MAPREDUCE-6838,https://issues.apache.org/jira/browse/MAPREDUCE-6838,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-client/src/main/java/org/apache/hadoop/yarn/client/api/async/impl/AMRMClientAsyncImpl.java
YARN-5753,https://issues.apache.org/jira/browse/YARN-5753,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-client/src/main/java/org/apache/hadoop/yarn/client/api/impl/AMRMClientImpl.java
YARN-5693,https://issues.apache.org/jira/browse/YARN-5693,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-client/src/main/java/org/apache/hadoop/yarn/client/api/impl/ContainerManagementProtocolProxy.java
YARN-5647,https://issues.apache.org/jira/browse/YARN-5647,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/main/java/org/apache/hadoop/yarn/server/applicationhistoryservice/ApplicationHistoryServer.java
YARN-6873,https://issues.apache.org/jira/browse/YARN-6873,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/main/java/org/apache/hadoop/yarn/server/timeline/LeveldbTimelineStore.java
YARN-6873,https://issues.apache.org/jira/browse/YARN-6873,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/main/java/org/apache/hadoop/yarn/server/timeline/RollingLevelDBTimelineStore.java
YARN-6873,https://issues.apache.org/jira/browse/YARN-6873,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/main/java/org/apache/hadoop/yarn/server/timeline/recovery/LeveldbTimelineStateStore.java
YARN-3359,https://issues.apache.org/jira/browse/YARN-3359,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/NodeManager.java
YARN-7244,https://issues.apache.org/jira/browse/YARN-7244,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/AuxServices.java
YARN-5049,https://issues.apache.org/jira/browse/YARN-5049,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/ContainerManagerImpl.java
YARN-5792,https://issues.apache.org/jira/browse/YARN-5792,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/container/ContainerImpl.java
YARN-7286,https://issues.apache.org/jira/browse/YARN-7286,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/linux/runtime/DockerLinuxContainerRuntime.java
YARN-7047,https://issues.apache.org/jira/browse/YARN-7047,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/localizer/LocalizedResource.java
YARN-7261,https://issues.apache.org/jira/browse/YARN-7261,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/localizer/ResourceLocalizationService.java
YARN-6627,https://issues.apache.org/jira/browse/YARN-6627,https://github.com/apache/hadoop/blob/rel/release-2.9.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/ResourceManager.java
